time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000720437	1.97054e-17	1.38778e-17	lidar	0.000275958	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47145	0.248799	-0.00553448	3.14005e-06	3.24074e-07	radar	0.125981	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46434	0.250982	-0.00841843	-2.06571e-05	-2.94422e-06	lidar	0.00655124	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.3769	0.251327	-0.934676	0.00134348	0.00033423	radar	19.0659	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.31176	0.250629	-0.955987	0.00317674	0.000768451	lidar	0.34186	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10808	0.234357	-1.40739	0.1788	0.0538371	radar	27.7207	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.00901	0.202854	-1.45598	0.290866	0.0830852	lidar	1.83964	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.8204	0.337598	-1.80599	-1.15001	-0.507231	radar	16.2015	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.70629	0.274818	-1.87411	-0.481115	-0.246851	lidar	3.08534	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.57319	0.204947	-1.93566	0.0287489	0.034128	radar	1.0653	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.44427	0.138701	-1.91803	0.192446	0.0721731	lidar	1.36907	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.29251	0.181714	-2.25682	-0.048223	-0.31101	radar	6.94677	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.14808	0.0888889	-2.27386	0.137802	-0.137992	lidar	2.02929	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.03903	-0.00558841	-2.16092	0.304722	0.124752	radar	3.27116	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.91789	-0.132455	-2.19418	0.483803	0.367706	lidar	1.46907	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.80599	-0.191734	-2.24991	0.469961	0.212066	radar	1.19869	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.69968	-0.315454	-2.31101	0.59319	0.365031	lidar	1.60242	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.65675	-0.496481	-2.29189	0.958619	1.19407	radar	4.39283	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.59046	-0.607202	-2.31533	1.03622	1.21225	lidar	0.162964	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.54967	-0.769255	-2.37546	1.24141	1.51156	radar	1.09122	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.50482	-0.927747	-2.43196	1.34234	1.50619	lidar	0.997629	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.39184	-0.998756	-2.30591	1.1244	0.832694	radar	8.21223	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.3238	-1.14115	-2.36378	1.16735	0.805306	lidar	0.919988	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.42637	-1.35286	-2.46165	1.60926	1.59075	radar	28.2394	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.42204	-1.52182	-2.53539	1.69288	1.56818	lidar	1.20886	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.35655	-1.60462	-2.31986	1.56524	1.1648	radar	11.9004	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.33308	-1.76683	-2.41626	1.60298	1.11916	lidar	2.31891	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.38407	-1.93803	-2.58268	1.76298	1.3021	radar	6.42437	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.3951	-2.09952	-2.65455	1.81062	1.27075	lidar	1.22096	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.38033	-2.23508	-2.555	1.79201	1.11898	radar	4.79189	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.39515	-2.4104	-2.62864	1.82996	1.08391	lidar	1.27078	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.44079	-2.57417	-2.70414	1.89799	1.10039	radar	0.89183	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.4745	-2.74355	-2.75664	1.93688	1.07262	lidar	0.680254	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.48455	-2.86719	-2.65388	1.93614	0.987135	radar	3.50578	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.50837	-3.02869	-2.71467	1.95441	0.950353	lidar	1.13766	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.56356	-3.18678	-2.76708	2.00048	0.946309	radar	0.572305	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.60582	-3.35735	-2.81557	2.02398	0.914442	lidar	0.826263	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.68734	-3.51847	-2.91564	2.08238	0.932862	radar	1.28747	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.7616	-3.6791	-2.94866	2.12023	0.917271	lidar	0.331186	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.82523	-3.81071	-2.85854	2.14866	0.883762	radar	1.70762	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.89583	-3.97091	-2.8939	2.17383	0.858245	lidar	0.542644	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.9594	-4.0955	-2.7968	2.19845	0.826437	radar	1.81341	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
