time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.24209e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.757365	0.65387	7.21476	-4.50247e-17	2.19434e-17	radar	74.5953	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15304	0.504923	7.22267	-0.219041	-0.0204171	lidar	0.364412	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25893	0.540987	7.19734	0.0276397	0.0222252	radar	1.8962	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.62087	0.581628	7.2021	0.0912994	0.0502452	lidar	0.215711	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85481	0.558324	6.00757	-0.0105616	-0.282983	radar	7.37313	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16567	0.579689	5.9983	0.00598901	-0.214701	lidar	0.332686	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38092	0.632857	5.58922	0.0394745	-0.314584	radar	6.05787	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6572	0.647809	5.58399	0.0327791	-0.280577	lidar	0.0203321	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92264	0.645349	5.51678	-0.00229159	-0.388894	radar	0.327564	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15775	0.642521	5.47049	-0.0106903	-0.350873	lidar	1.1878	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44296	0.540773	5.50486	-0.153553	-0.756915	radar	1.29589	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74651	0.430141	5.57662	-0.269966	-0.984414	lidar	2.14603	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02638	0.514294	5.54083	-0.134849	-0.48135	radar	4.00004	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30015	0.508374	5.52214	-0.125838	-0.401433	lidar	0.331676	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55934	0.547572	5.42337	-0.0822166	-0.263209	radar	1.92247	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74635	0.657617	5.2495	0.0211366	-0.0194887	lidar	12.4019	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99762	0.657797	5.16822	0.01395	-0.0321732	radar	1.68413	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.2976	0.65338	5.22831	0.00470166	-0.0465933	lidar	2.59936	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55616	0.660567	5.26915	0.0088994	-0.0340401	radar	1.76233	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85013	0.675711	5.31016	0.0152062	-0.0209126	lidar	1.62007	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09205	0.603501	5.22121	-0.0379411	-0.105899	radar	3.71395	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34629	0.716048	5.19823	0.0360631	0.0164634	lidar	3.68454	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59621	0.748099	5.15424	0.050645	0.0366041	radar	0.480026	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84274	0.746212	5.14076	0.0437841	0.0242425	lidar	0.258285	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.08482	0.730537	5.03935	0.028549	0.000117345	radar	2.69524	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.30275	0.813691	4.9908	0.072484	0.0603224	lidar	2.86182	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.59639	0.825217	5.13455	0.0707499	0.0541479	radar	4.72738	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8467	0.803444	5.12606	0.0519683	0.0260278	lidar	0.552378	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.09564	0.821437	5.05347	0.0551976	0.0275605	radar	2.26018	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33229	0.838551	5.03206	0.0586926	0.0304337	lidar	0.373314	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60226	0.926811	5.158	0.0981341	0.0799442	radar	6.95651	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83985	0.985512	5.13368	0.119543	0.102195	lidar	0.736825	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12992	1.02458	5.20039	0.127	0.104681	radar	6.77947	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36751	1.05752	5.17217	0.132853	0.105721	lidar	0.656453	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64715	1.1309	5.23362	0.155803	0.127667	radar	4.45714	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92151	1.25907	5.27044	0.203599	0.179568	lidar	3.08181	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1687	1.35035	5.18769	0.232781	0.207017	radar	4.77514	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3931	1.43102	5.15388	0.254419	0.221704	lidar	1.15412	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6234	1.51656	5.04133	0.279076	0.242207	radar	3.7825	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8479	1.54667	5.00472	0.273227	0.220011	lidar	1.25577	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
